country,variable,value
Tunisia,2019,11694721
Turkiye,2019,83429607
Turkmenistan,2019,5942094
Turks and Caicos Islands,2019,38194
Tuvalu,2019,11655
Uganda,2019,44269587
Ukraine,2019,44386203
United Arab Emirates,2019,9770526
United Kingdom,2019,66836327
United States,2019,328329953
Uruguay,2019,3461731
Uzbekistan,2019,33580350
Vanuatu,2019,299882
"Venezuela, RB",2019,28515829
Vietnam,2019,96462108
Virgin Islands (U.S.),2019,106669
West Bank and Gaza,2019,4685306
"Yemen, Rep.",2019,29161922
Zambia,2019,17861034
Zimbabwe,2019,14645473
Afghanistan,2020,38928341
Albania,2020,2837849
Algeria,2020,43851043
American Samoa,2020,55197
Andorra,2020,77265
Angola,2020,32866268
Antigua and Barbuda,2020,97928
Argentina,2020,45376763
Armenia,2020,2963234
Aruba,2020,106766
Australia,2020,25693267
Austria,2020,8916864
Azerbaijan,2020,10093121
Bahamas,2020,393248
Bahrain,2020,1701583
Bangladesh,2020,164689383
Barbados,2020,287371
Belarus,2020,9379952
Belgium,2020,11544241
Belize,2020,397621
Benin,2020,12123198
Bermuda,2020,63893
Bhutan,2020,771612
Bolivia,2020,11673029
Bosnia and Herzegovina,2020,3280815
Botswana,2020,2351625
Brazil,2020,212559409
British Virgin Islands,2020,30237
Brunei Darussalam,2020,437483
Bulgaria,2020,6934015
Burkina Faso,2020,20903278
Burundi,2020,11890781
Cabo Verde,2020,555988
Cambodia,2020,16718971
Cameroon,2020,26545864
Canada,2020,38037204
Cayman Islands,2020,65720
Central African Republic,2020,4829764
Chad,2020,16425859
Channel Islands,2020,173859
Chile,2020,19116209
China,2020,1411100000
Colombia,2020,50882884
Comoros,2020,869595
"Congo, Dem. Rep.",2020,89561404
"Congo, Rep.",2020,5518092
Costa Rica,2020,5094114
Cote d'Ivoire,2020,26378275
Croatia,2020,4047680
Cuba,2020,11326616
Curacao,2020,154947
Cyprus,2020,1207361
Czech Republic,2020,10697858
Denmark,2020,5831404
Djibouti,2020,988002
Dominica,2020,71991
Dominican Republic,2020,10847904
Ecuador,2020,17643060
"Egypt, Arab Rep.",2020,102334403
El Salvador,2020,6486201
Equatorial Guinea,2020,1402985
Estonia,2020,1329479
Eswatini,2020,1160164
Ethiopia,2020,114963583
Faroe Islands,2020,48865
Fiji,2020,896444
Finland,2020,5529543
France,2020,67379908
French Polynesia,2020,280904
Gabon,2020,2225728
Gambia,2020,2416664
Georgia,2020,3722716
Germany,2020,83160871
Ghana,2020,31072945
Gibraltar,2020,33691
Greece,2020,10700556
Greenland,2020,56367
Grenada,2020,112519
Guam,2020,168783
Guatemala,2020,16858333
Guinea,2020,13132792
Guinea-Bissau,2020,1967998
Guyana,2020,786559
Haiti,2020,11402533
Honduras,2020,9904608
"Hong Kong SAR, China",2020,7481000
Hungary,2020,9750149
Iceland,2020,366463
India,2020,1380004385
Indonesia,2020,273523621
"Iran, Islamic Rep.",2020,83992953
Iraq,2020,40222503
Ireland,2020,4985674
Isle of Man,2020,85032
Israel,2020,9215100
Italy,2020,59449527
Jamaica,2020,2961161
Japan,2020,126261000
Jordan,2020,10203140
Kazakhstan,2020,18755666
Kenya,2020,53771300
Kiribati,2020,119446
"Korea, Dem. People's Rep.",2020,25778815
"Korea, Rep.",2020,51836239
Kosovo,2020,1790133
Kuwait,2020,4270563
Kyrgyz Republic,2020,6579900
Lao PDR,2020,7275556
Latvia,2020,1900449
Lebanon,2020,6825442
Lesotho,2020,2142252
Liberia,2020,5057677
Libya,2020,6871287
Liechtenstein,2020,38137
Lithuania,2020,2794885
Luxembourg,2020,630419
"Macao SAR, China",2020,649342
Madagascar,2020,27691019
Malawi,2020,19129955
Malaysia,2020,32365998
Maldives,2020,540542
Mali,2020,20250834
Malta,2020,515332
Marshall Islands,2020,59194
Mauritania,2020,4649660
Mauritius,2020,1265740
Mexico,2020,128932753
Micronesia,2020,115021
Moldova,2020,2620495
Monaco,2020,39244
Mongolia,2020,3278292
Montenegro,2020,621306
Morocco,2020,36910558
Mozambique,2020,31255435
Myanmar,2020,54409794
Namibia,2020,2540916
Nauru,2020,10834
Nepal,2020,29136808
Netherlands,2020,17441500
New Caledonia,2020,271960
New Zealand,2020,5090200
Nicaragua,2020,6624554
Niger,2020,24206636
Nigeria,2020,206139587
North America,2020,369602177
North Macedonia,2020,2072531
Northern Mariana Islands,2020,57557
Norway,2020,5379475
Oman,2020,5106622
Pakistan,2020,220892331
Palau,2020,18092
Panama,2020,4314768
Papua New Guinea,2020,8947027
Paraguay,2020,7132530
Peru,2020,32971846
Philippines,2020,109581085
Poland,2020,37899070
Portugal,2020,10297081
Puerto Rico,2020,3281538
Qatar,2020,2881060
Romania,2020,19257520
Russian Federation,2020,144073139
Rwanda,2020,12952209
Samoa,2020,198410
San Marino,2020,33938
Sao Tome and Principe,2020,219161
Saudi Arabia,2020,34813867
Senegal,2020,16743930
Serbia,2020,6899126
Seychelles,2020,98462
Sierra Leone,2020,7976985
Singapore,2020,5685807
Sint Maarten (Dutch part),2020,42310
Slovak Republic,2020,5458827
Slovenia,2020,2102419
Solomon Islands,2020,686878
Somalia,2020,15893219
South Africa,2020,59308690
South Sudan,2020,11193729
Spain,2020,47363419
Sri Lanka,2020,21919000
St. Kitts and Nevis,2020,53192
St. Lucia,2020,183629
St. Martin (French part),2020,38659
St. Vincent and the Grenadines,2020,110947
Sudan,2020,43849269
Suriname,2020,586634
Sweden,2020,10353442
Switzerland,2020,8636561
Syrian Arab Republic,2020,17500657
Tajikistan,2020,9537642
Tanzania,2020,59734213
Thailand,2020,69799978
Timor-Leste,2020,1318442
Togo,2020,8278737
Tonga,2020,105697
Trinidad and Tobago,2020,1399491
Tunisia,2020,11818618
Turkiye,2020,84339067
Turkmenistan,2020,6031187
Turks and Caicos Islands,2020,38718
Tuvalu,2020,11792
Uganda,2020,45741000
Ukraine,2020,44132049
United Arab Emirates,2020,9890400
United Kingdom,2020,67081000
United States,2020,331501080
Uruguay,2020,3473727
Uzbekistan,2020,34232050
Vanuatu,2020,307150
"Venezuela, RB",2020,28435943
Vietnam,2020,97338583
Virgin Islands (U.S.),2020,106290
West Bank and Gaza,2020,4803269
"Yemen, Rep.",2020,29825968
Zambia,2020,18383956
Zimbabwe,2020,14862927
